id,title,sector,sector_label,skill_tag
20,Node.js Backend 개발자,Back-end,0,
21,[단비] Node.js / React / Typescript 개발자를 모십니다!,WEB/Full-stack,2,"NOSQL,MONGODB,PYTHON,NODE JS,AMAZON AWS,DJANGO,JAVASCRIPT,FRONT-END,BACK-END,GRAPHQL API ,TYPESCRIPT,GIT,REACT,NODE.JS"
22,Java 개발 (비즈니스플랫폼),JAVA-dev,21,
23,"[Coupang Pay] Principal, Technical Program Management",CTO,19,
24,[핀테크]파운트 Full-Stack Engineer,WEB/Full-stack,2,
25,[핀테크] 파운트 프론트엔드 개발자,Front-end,1,
26,백엔드 서비스 개발,Back-end,0,
27,[다짐] 백엔드 개발자(1년 이상),Back-end,0,
28,PHP MySQL Java 정규/경력 개발자 모집,JAVA-dev,21,"JAVA,PHP,MYSQL,HTML&CSS3,LINUX"
29,프론트엔드 개발자 신입 채용,Front-end,1,"NODE.JS,ANGULAR,MS AZURE,JIRA,CONFLUENCE,FRONT-END"
30,크립토네이도 서버 개발자,Back-end,0,"NODE.JS,NOSQL,SERVER,서버개발,게임서버,모바일게임서버,RDBMS,NODE JS,MONGODB"
31,블록체인 서비스 백엔드 개발자,Block-chain,17,"GO,GO-LANGUAGE,JAVASCRIPT,SQL,MYSQL,NOSQL,MONGODB,REST API,NODE JS"
32,이더리움/클레이튼 기반 플랫폼 개발자,Block-chain,17,"GO,GO-LANGUAGE,GOLANG,JAVA,NODE JS,NODE.JS,NODEJS,C#"
33,어드민 풀스택 개발자,WEB/Full-stack,2,"REACT,TYPESCRIPT,JAVASCRIPT,GOLANG,SQL,MYSQL,NOSQL,MONGODB,FRONT-END,BACK-END,FULL STACK,FULL-STACK DEVELOPMENT,FULL-STACK ENGINEER"
34,QA 담당자,QA/QC,23,"QA,TEST-CASES,QUALITY-ASSURANCE,SOFTWARE-TESTING,소프트웨어테스트,모바일,WEB,웹서비스"
35,[지피에이코리아] 웹개발자 / 앱개발자 경력 채용.,WEB/Full-stack,2,"ANDROID,GIT,HTML5,CSS3,TYPESCRIPT,JAVASCRIPT,ES6,PHP,NODE.JS,EXPRESS,AWS S3, EC2, RDS,MYSQL,MONGODB,GRAPHQL,UBUNTU,JAVA"
36,인슈어테크 스타트업 (주)웰그램에서 함께하실 멋진 개발자님을 모십니다.,Anonymous,22,"IOS,ANDROID,SWIFT"
37,[프리윌린]프론트엔드 개발자(주니어),Front-end,1,"프론트엔드,웹프론트엔드 개발,프론트엔드 개발,프론트엔드개발자,웹 프론트엔드 개발(HTML5/CSS3/JAVASCRIPT/VUE.JS),웹개발,WEB-FRONTEND"
38,[QA] QA Engineer(매쓰플랫),QA/QC,23,"QA 테스터,QA/QC,PRODUCT-MANAGEMENT,소프트웨어테스트,사용성테스트,TESTING,QA,SOFTWARE-QUALITY,ISTQB"
39,[프리윌린]프론트엔드 개발자(시니어),Front-end,1,"프론트엔드,웹프론트엔드 개발,프론트엔드 개발,프론트엔드개발자,웹 프론트엔드 개발(HTML5/CSS3/JAVASCRIPT/VUE.JS)"
40,[개발]iOS 개발자(B2C 풀리),IOS,4,"IOS 앱개발,SWIFT 개발 경험자,SWIFT,IOS,GIT"
41,[프리윌린]백엔드 개발자(시니어),Back-end,0,"JAVA,SPRING,SPRINGFRAMEWORK,NODE.JS,REST API,SOCKET,AWS LAMBDA,ANDROID,AMAZON AWS,BACK-END"
42,QA 엔지니어,QA/QC,23,
43,iOS개발자,IOS,4,
44,Backend Developer,Back-end,0,
45,Frontend Engineer,Front-end,1,
46,[신사업] TypeScript BackEnd 엔지니어,Back-end,0,
47,Front-End Developer(Angular),Front-end,1,
48,[개발팀] 시니어 Full-stack 개발자 정규직(경력) 모집,WEB/Full-stack,2,"풀스택개발,NODE.JS,REACT.JS,서비스 개발,개발매니징,REFACTORING,리팩토링,쿼리최적화,서비스런칭,FULL-STACK DEVELOPMENT,FULL STACK"
49,[개발팀] 시니어 Front-end 개발자 정규직(경력) 모집,Front-end,1,"REACT,FRONT-END,REDUX,REACTJS,UI개발,COMPONENT,NODE.JS,TDD,ES6,ES7"
50,[개발팀] 사내 프로젝트 서버개발 정규직(경력) 모집,Back-end,0,"JAVASCRIPT,NODE.JS,MYSQL,BACK-END,AMAZON AWS,SOCKET.IO,LOAD-BALANCING"
51,프론트엔드 엔지니어 (시니어),Front-end,1,"JAVA,SPRINGBOOT,NODEJS,RUBY ON RAILS,REACT"
52,데이터 엔지니어,Data-engineer,7,"JAVA,SPRINGBOOT,NODEJS,RUBY ON RAILS,REACT,MOBX,EXPRESS,RXJS,RAMDA.JS,AWS-EC2,AWS RDS(WITH MYSQL),AWS ELASTIC CACHE(REDIS),AWS REDSHIFT,AWS LAMBDA,DOCKER,NGINX,TOMCAT,ELASTICSEARCH,IMGIX,ALGOLIA,SEMAPHORECI,PERISCOPEDATA,MYSQL,AMAZON AWS,PYTHON"
53,백엔드 엔지니어 (시니어),Back-end,0,"JAVA,SPRINGBOOT,NODEJS,RUBY ON RAILS,REACT,MOBX,EXPRESS,RXJS,RAMDA.JS,AWS-EC2,AWS RDS(WITH MYSQL),AWS ELASTIC CACHE(REDIS),AWS REDSHIFT,AWS LAMBDA,DOCKER,NGINX,TOMCAT,ELASTICSEARCH,IMGIX,ALGOLIA,SEMAPHORECI,PERISCOPEDATA"
54,iOS 엔지니어,IOS,4,"IOS,IOS 앱개발,SWIFT"
55,안드로이드 엔지니어,Android,3,ANDROID
56,[아임포트] 개발/기획 동료와 함께 지원하기,Anonymous,22,"TYPESCRIPT,POSTGRESQL,REDIS,ELASTICSEARCH,JAVASCRIPT,NODE JS,GRAPHQL,REACT,SENTRY,SPRING FRAMEWORK 5,SPRINGBOOT,SPRINGBOOT2,WEBFLUX,AWS CONTAINER,OPENTRACING,JAEGER,ZIPKIN,ELASTIC APM,PYTHON,CLUSTERING,VITESS"
57,[차이카드/페이] QA Engineer,QA/QC,23,QA 테스터
58,[차이카드/페이] DevOps Engineer,DevOps,10,"POSTGRESQL,ELASTICSEARCH,APACHE SPARK,GNU,LINUX,CENTOS,DOCKER,CLUSTER ORCHESTRATION,TERRAFORM"
59,[아임포트] Senior Front-end Engineer,Front-end,1,"TYPESCRIPT,JAVASCRIPT(ES6+),REACT,CSS3,SCSS,MEDIA-QUERY"
60,[아임포트] Back-end Engineer,Back-end,0,"TYPESCRIPT,POSTGRESQL,REDIS,ELASTICSEARCH,JAVASCRIPT,NODE JS,GRAPHQL,REACT,SENTRY,SPRING FRAMEWORK 5,SPRINGBOOT,SPRINGBOOT2,WEBFLUX,AWS CONTAINER,OPENTRACING,JAEGER,ZIPKIN,ELASTIC APM,PYTHON,CLUSTERING,VITESS"
61,[아임포트] iOS Engineer (iOS 모바일 SDK 구축),IOS,4,"IOS,SWIFT,PROMISE,FUTURE,REACTIVE,MVP,MVVM,BLOCKCHAIN,REACTIVEX,RXSWIFT,RXCOCOA,RXFLOW,FLEXLAYOUT,ALAMOFIRE"
62,[차이카드/페이] QA Engineer,QA/QC,23,QA 테스터
63,[신입/경력] 안드로이드/IOS 앱개발 (내일채움공제지원),Mobile,5,"ANDROID,JAVA,PHP,MYSQL,AMAZON AWS,풀스택개발"
64,"웹 개발자 (HTML, Java, API개발 가능한 백엔드 개발자)",JAVA-dev,21,"JAVA,JQUERY,BACK-END,JAVASCRIPT,PHP"
65,산업용 IoT 백엔드 서버 개발자,Back-end,0,"BACK-END,AMAZON AWS,PYTHON,JENKINS,GIT,서버관리"
66,모바일 앱 개발자(경력) 모집,Mobile,5,"ANDROID,SW 개발,모바일,앱 개발,웹개발,NATIVE APP 개발,FRONTEND,UI/UX기획"
67,(주)엔티엘헬스케어 Frontnd개발자(SW개발팀) 채용,Front-end,1,"REACT,JAVASCRIPT,CSS,HTML,FRONT-END,FRAMEWORK,JAVASPRING"
